occupation,hierarchy_level,mechanism_of_death,deaths,population
"Mining and geological engineers, including mining safety engineers",3,Fall,0,6
"Mining and geological engineers, including mining safety engineers",2,Poisoning,0,6
"Mining and geological engineers, including mining safety engineers",3,Poisoning,0,6
"Mining and geological engineers, including mining safety engineers",2,Struck by or against,0,6
"Mining and geological engineers, including mining safety engineers",3,Struck by or against,0,6
"Drafters, engineering technicians, and mapping technicians",1,Total,4,701
"Drafters, engineering technicians, and mapping technicians",1,Cut/Pierce,0,701
"Drafters, engineering technicians, and mapping technicians",1,Motor Vehicle Traffic,3,701
"Drafters, engineering technicians, and mapping technicians",1,Fire/Flame,0,701
"Drafters, engineering technicians, and mapping technicians",1,Fall,0,701
"Drafters, engineering technicians, and mapping technicians",1,Poisoning,0,701
"Drafters, engineering technicians, and mapping technicians",1,Struck by or against,0,701
"Engineering technicians, except drafters",2,Total,4,445
"Engineering technicians, except drafters",2,Cut/Pierce,0,445
"Engineering technicians, except drafters",2,Motor Vehicle Traffic,3,445
"Engineering technicians, except drafters",2,Fire/Flame,0,445
"Engineering technicians, except drafters",2,Fall,0,445
"Engineering technicians, except drafters",2,Poisoning,0,445
"Engineering technicians, except drafters",2,Struck by or against,0,445
"Life, physical, and social science occupations",0,Total,18,"1,323"
"Life, physical, and social science occupations",0,Cut/Pierce,9,"1,323"
"Life, physical, and social science occupations",0,Motor Vehicle Traffic,4,"1,323"
"Life, physical, and social science occupations",0,Fire/Flame,0,"1,323"
"Life, physical, and social science occupations",0,Fall,4,"1,323"
"Life, physical, and social science occupations",0,Poisoning,0,"1,323"
"Life, physical, and social science occupations",0,Struck by or against,0,"1,323"
Life scientists,1,Total,9,333
Life scientists,1,Cut/Pierce,4,333
Life scientists,1,Motor Vehicle Traffic,3,333
Life scientists,1,Fire/Flame,0,333
Life scientists,1,Fall,0,333
Life scientists,1,Poisoning,0,333
Life scientists,1,Struck by or against,0,333
Biological scientists,2,Total,4,118
Biological scientists,2,Cut/Pierce,3,118
Biological scientists,2,Motor Vehicle Traffic,0,118
Biological scientists,2,Fire/Flame,0,118
Biological scientists,2,Fall,0,118
Biological scientists,2,Poisoning,0,118
Biological scientists,2,Struck by or against,0,118
Zoologists and wildlife biologists,3,Total,1,19
Zoologists and wildlife biologists,3,Cut/Pierce,0,19
Zoologists and wildlife biologists,3,Motor Vehicle Traffic,0,19
Zoologists and wildlife biologists,3,Fire/Flame,0,19
Zoologists and wildlife biologists,3,Fall,0,19
Zoologists and wildlife biologists,3,Poisoning,0,19
Zoologists and wildlife biologists,3,Struck by or against,0,19
Conservation scientists and foresters,2,Total,3,33
Conservation scientists and foresters,2,Cut/Pierce,0,33
Conservation scientists and foresters,2,Motor Vehicle Traffic,0,33
Conservation scientists and foresters,2,Fire/Flame,0,33
Conservation scientists and foresters,2,Fall,0,33
Conservation scientists and foresters,2,Poisoning,0,33
Conservation scientists and foresters,2,Struck by or against,0,33
Physical scientists,1,Total,1,271
Physical scientists,1,Cut/Pierce,1,271
Physical scientists,1,Motor Vehicle Traffic,0,271
Physical scientists,1,Fire/Flame,0,271
Physical scientists,1,Fall,0,271
Physical scientists,1,Poisoning,0,271
Physical scientists,1,Struck by or against,0,271
Chemists and materials scientists,2,Total,1,96
Chemists and materials scientists,2,Cut/Pierce,1,96
Chemists and materials scientists,2,Motor Vehicle Traffic,0,96
Chemists and materials scientists,2,Fire/Flame,0,96
Chemists and materials scientists,2,Fall,0,96
Chemists and materials scientists,2,Poisoning,0,96
Chemists and materials scientists,2,Struck by or against,0,96
Chemists,3,Total,1,88
Chemists,3,Cut/Pierce,1,88
Chemists,3,Motor Vehicle Traffic,0,88
Chemists,3,Fire/Flame,0,88
Chemists,3,Fall,0,88
Chemists,3,Poisoning,0,88
Chemists,3,Struck by or against,0,88
Social scientists and related workers,1,Total,4,314
Social scientists and related workers,1,Cut/Pierce,4,314
Social scientists and related workers,1,Motor Vehicle Traffic,0,314
Social scientists and related workers,1,Fire/Flame,0,314
Social scientists and related workers,1,Fall,0,314
Social scientists and related workers,1,Poisoning,0,314
Social scientists and related workers,1,Struck by or against,0,314
Economists,2,Total,1,21
Economists,3,Total,1,21
Economists,2,Cut/Pierce,1,21
Economists,3,Cut/Pierce,1,21
Economists,2,Motor Vehicle Traffic,0,21
Economists,3,Motor Vehicle Traffic,0,21
Economists,2,Fire/Flame,0,21
Economists,3,Fire/Flame,0,21
Economists,2,Fall,0,21
Economists,3,Fall,0,21
Economists,2,Poisoning,0,21
Economists,3,Poisoning,0,21
Economists,2,Struck by or against,0,21
Economists,3,Struck by or against,0,21
Psychologists,2,Total,3,182
Psychologists,2,Cut/Pierce,3,182
Psychologists,2,Motor Vehicle Traffic,0,182
Psychologists,2,Fire/Flame,0,182
Psychologists,2,Fall,0,182
Psychologists,2,Poisoning,0,182
Psychologists,2,Struck by or against,0,182
"Clinical, counseling, and school psychologists",3,Total,2,162
"Clinical, counseling, and school psychologists",3,Cut/Pierce,2,162
"Clinical, counseling, and school psychologists",3,Motor Vehicle Traffic,0,162
"Clinical, counseling, and school psychologists",3,Fire/Flame,0,162
"Clinical, counseling, and school psychologists",3,Fall,0,162
"Clinical, counseling, and school psychologists",3,Poisoning,0,162
"Clinical, counseling, and school psychologists",3,Struck by or against,0,162
"Life, physical, and social science technicians",1,Total,4,405
"Life, physical, and social science technicians",1,Cut/Pierce,0,405
"Life, physical, and social science technicians",1,Motor Vehicle Traffic,0,405
"Life, physical, and social science technicians",1,Fire/Flame,0,405
"Life, physical, and social science technicians",1,Fall,3,405
"Life, physical, and social science technicians",1,Poisoning,0,405
"Life, physical, and social science technicians",1,Struck by or against,0,405
"Miscellaneous life, physical, and social science technicians",2,Total,0,157
"Miscellaneous life, physical, and social science technicians",2,Cut/Pierce,0,157
"Miscellaneous life, physical, and social science technicians",2,Motor Vehicle Traffic,0,157
"Miscellaneous life, physical, and social science technicians",2,Fire/Flame,0,157
"Miscellaneous life, physical, and social science technicians",2,Fall,0,157
"Miscellaneous life, physical, and social science technicians",2,Poisoning,0,157
"Miscellaneous life, physical, and social science technicians",2,Struck by or against,0,157
Forest and conservation technicians,3,Total,1,33
Forest and conservation technicians,3,Cut/Pierce,0,33
Forest and conservation technicians,3,Motor Vehicle Traffic,0,33
Forest and conservation technicians,3,Fire/Flame,0,33
Forest and conservation technicians,3,Fall,0,33
Forest and conservation technicians,3,Poisoning,0,33
Forest and conservation technicians,3,Struck by or against,0,33
"Counselors, social workers, and other community and social service specialists",1,Total,17,"2,277"
"Counselors, social workers, and other community and social service specialists",1,Cut/Pierce,7,"2,277"
"Counselors, social workers, and other community and social service specialists",1,Motor Vehicle Traffic,7,"2,277"
"Counselors, social workers, and other community and social service specialists",1,Fire/Flame,0,"2,277"
"Counselors, social workers, and other community and social service specialists",1,Fall,0,"2,277"
"Counselors, social workers, and other community and social service specialists",1,Poisoning,0,"2,277"
"Counselors, social workers, and other community and social service specialists",1,Struck by or against,0,"2,277"
Counselors,2,Total,8,834
Counselors,2,Cut/Pierce,0,834
Counselors,2,Motor Vehicle Traffic,3,834
Counselors,2,Fire/Flame,0,834
Counselors,2,Fall,0,834
Counselors,2,Poisoning,0,834
Counselors,2,Struck by or against,0,834
Social workers,2,Total,7,707
Social workers,2,Cut/Pierce,4,707
Social workers,2,Motor Vehicle Traffic,3,707
Social workers,2,Fire/Flame,0,707
Social workers,2,Fall,0,707
Social workers,2,Poisoning,0,707
Social workers,2,Struck by or against,0,707
"Child, family, and school social workers",3,Total,4,340
"Child, family, and school social workers",3,Cut/Pierce,2,340
"Child, family, and school social workers",3,Motor Vehicle Traffic,0,340
"Child, family, and school social workers",3,Fire/Flame,0,340
"Child, family, and school social workers",3,Fall,0,340
"Child, family, and school social workers",3,Poisoning,0,340
"Child, family, and school social workers",3,Struck by or against,0,340
Mental health and substance abuse social workers,3,Total,2,125
Mental health and substance abuse social workers,3,Cut/Pierce,2,125
Mental health and substance abuse social workers,3,Motor Vehicle Traffic,0,125
Mental health and substance abuse social workers,3,Fire/Flame,0,125
Mental health and substance abuse social workers,3,Fall,0,125
Mental health and substance abuse social workers,3,Poisoning,0,125
Mental health and substance abuse social workers,3,Struck by or against,0,125
Religious workers,1,Total,6,453
Religious workers,1,Cut/Pierce,0,453
Religious workers,1,Motor Vehicle Traffic,4,453
Religious workers,1,Fire/Flame,0,453
Religious workers,1,Fall,0,453
Religious workers,1,Poisoning,0,453
Religious workers,1,Struck by or against,0,453
Clergy,2,Total,3,234
Clergy,3,Total,3,234
Clergy,2,Cut/Pierce,0,234
Clergy,3,Cut/Pierce,0,234
Clergy,2,Motor Vehicle Traffic,0,234
Clergy,3,Motor Vehicle Traffic,0,234
Clergy,2,Fire/Flame,0,234
Clergy,3,Fire/Flame,0,234
Clergy,2,Fall,0,234
Clergy,3,Fall,0,234
Clergy,2,Poisoning,0,234
Clergy,3,Poisoning,0,234
Clergy,2,Struck by or against,0,234
Clergy,3,Struck by or against,0,234
Legal occupations,0,Total,15,"1,346"
Legal occupations,0,Cut/Pierce,9,"1,346"
Legal occupations,0,Motor Vehicle Traffic,5,"1,346"
Legal occupations,0,Fire/Flame,0,"1,346"
Legal occupations,0,Fall,0,"1,346"
Legal occupations,0,Poisoning,0,"1,346"
Legal occupations,0,Struck by or against,0,"1,346"
"Lawyers, judges, and related workers",1,Total,11,894
"Lawyers, judges, and related workers",1,Cut/Pierce,6,894
"Lawyers, judges, and related workers",1,Motor Vehicle Traffic,4,894
"Lawyers, judges, and related workers",1,Fire/Flame,0,894
"Lawyers, judges, and related workers",1,Fall,0,894
"Lawyers, judges, and related workers",1,Poisoning,0,894
"Lawyers, judges, and related workers",1,Struck by or against,0,894
Lawyers and judicial law clerks,2,Total,10,841
Lawyers and judicial law clerks,2,Cut/Pierce,5,841
Lawyers and judicial law clerks,2,Motor Vehicle Traffic,4,841
Lawyers and judicial law clerks,2,Fire/Flame,0,841
Lawyers and judicial law clerks,2,Fall,0,841
Lawyers and judicial law clerks,2,Poisoning,0,841
Lawyers and judicial law clerks,2,Struck by or against,0,841
Lawyers,3,Total,10,824
Lawyers,3,Cut/Pierce,5,824
Lawyers,3,Motor Vehicle Traffic,4,824
Lawyers,3,Fire/Flame,0,824
Lawyers,3,Fall,0,824
Lawyers,3,Poisoning,0,824
Lawyers,3,Struck by or against,0,824
"Judges, magistrates, and other judicial workers",2,Total,1,53
"Judges, magistrates, and other judicial workers",2,Cut/Pierce,0,53
"Judges, magistrates, and other judicial workers",2,Motor Vehicle Traffic,0,53
"Judges, magistrates, and other judicial workers",2,Fire/Flame,0,53
"Judges, magistrates, and other judicial workers",2,Fall,0,53
"Judges, magistrates, and other judicial workers",2,Poisoning,0,53
"Judges, magistrates, and other judicial workers",2,Struck by or against,0,53
"Judges, magistrate judges, and magistrates",3,Total,1,30
"Judges, magistrate judges, and magistrates",3,Cut/Pierce,0,30
"Judges, magistrate judges, and magistrates",3,Motor Vehicle Traffic,0,30
"Judges, magistrate judges, and magistrates",3,Fire/Flame,0,30
"Judges, magistrate judges, and magistrates",3,Fall,0,30
"Judges, magistrate judges, and magistrates",3,Poisoning,0,30
"Judges, magistrate judges, and magistrates",3,Struck by or against,0,30
Legal support workers,1,Total,4,452
Legal support workers,1,Cut/Pierce,0,452
Legal support workers,1,Motor Vehicle Traffic,0,452
Legal support workers,1,Fire/Flame,0,452
Legal support workers,1,Fall,0,452
Legal support workers,1,Poisoning,0,452
Legal support workers,1,Struck by or against,0,452
"Education, training, and library occupations",0,Total,27,"9,647"
"Education, training, and library occupations",0,Cut/Pierce,8,"9,647"
"Education, training, and library occupations",0,Motor Vehicle Traffic,8,"9,647"
"Education, training, and library occupations",0,Fire/Flame,0,"9,647"
"Education, training, and library occupations",0,Fall,10,"9,647"
"Education, training, and library occupations",0,Poisoning,0,"9,647"
"Education, training, and library occupations",0,Struck by or against,0,"9,647"
Postsecondary teachers,1,Total,5,"1,889"
Postsecondary teachers,1,Cut/Pierce,0,"1,889"
Postsecondary teachers,1,Motor Vehicle Traffic,0,"1,889"
Postsecondary teachers,1,Fire/Flame,0,"1,889"
Postsecondary teachers,1,Fall,0,"1,889"
Postsecondary teachers,1,Poisoning,0,"1,889"
Postsecondary teachers,1,Struck by or against,0,"1,889"
Miscellaneous postsecondary teachers,2,Total,5,538
Miscellaneous postsecondary teachers,2,Cut/Pierce,0,538
